symbol,date,price,change_percent,high,low,ema20,ema50,ema100,ema200,score,trend,alignment,candles_count
MFSL,2026-05-18,1604.0,-1.68,1625.5,1593.2,1632.21,1641.92,1649.25,1624.0,0.0,BEARISH,WEAK,248
FEDERALBNK,2026-05-18,281.3,0.37,284.7,278.3,287.11,283.68,274.82,257.3,0.0,BULLISH,WEAK,248
ACE,2026-05-18,888.25,0.33,914.85,876.75,893.9,885.21,903.14,967.02,0.0,BEARISH,WEAK,248
POONAWALLA,2026-05-18,413.35,-1.75,423.1,412.25,426.05,424.77,432.38,437.25,0.0,BEARISH,WEAK,248
SOBHA,2026-05-18,1397.3,-0.39,1429.8,1381.3,1398.34,1381.17,1403.1,1431.03,0.0,BEARISH,WEAK,247
FIRSTCRY,2026-05-18,224.22,-2.51,231.5,223.1,236.35,239.53,254.83,283.53,0.0,BEARISH,WEAK,248
NUVAMA,2026-05-18,1458.5,-1.31,1505.4,1453.7,1428.02,1358.32,1348.01,1360.43,0.0,BULLISH,PARTIAL,246
SUNDARMFIN,2026-05-18,4608.1,-0.43,4659.5,4582.0,4684.31,4816.88,4896.47,4921.39,0.0,BEARISH,WEAK,248
PERSISTENT,2026-05-18,4702.1,1.58,4797.0,4630.0,4923.78,5070.1,5287.62,5471.65,0.0,BEARISH,WEAK,248
UBL,2026-05-18,1367.8,-1.54,1394.4,1360.0,1438.05,1492.37,1552.7,1655.29,0.0,BEARISH,WEAK,248
PNBHOUSING,2026-05-18,1069.4,-0.03,1077.6,1057.9,1024.56,951.29,918.06,920.78,0.0,BULLISH,PARTIAL,248
LATENTVIEW,2026-05-18,307.25,5.84,315.4,290.2,299.12,311.12,342.49,375.46,0.0,BEARISH,WEAK,248
AEGISLOG,2026-05-18,674.15,3.15,684.85,646.05,685.05,677.49,689.13,722.63,0.0,BEARISH,WEAK,246
UNOMINDA,2026-05-18,1121.8,-0.04,1133.9,1110.1,1124.88,1123.54,1145.55,1153.71,0.0,BEARISH,WEAK,248
AIIL,2026-05-18,505.5,-0.02,514.4,501.85,481.65,481.05,498.87,512.73,0.0,BEARISH,PARTIAL,246
3MINDIA,2026-05-18,31245.0,0.16,31595.0,31120.0,31943.88,32490.25,32930.15,32603.95,0.0,BEARISH,WEAK,246
BBTC,2026-05-18,1522.8,-0.98,1559.9,1517.1,1514.92,1544.75,1624.6,1725.98,0.0,BEARISH,WEAK,248
HDBFS,2026-05-18,674.95,-0.24,680.0,671.3,670.83,668.12,686.29,719.92,0.0,BEARISH,PARTIAL,216
IRB,2026-05-18,20.3,-0.44,20.52,20.2,21.21,21.23,21.26,21.76,0.0,BEARISH,WEAK,248
AMBUJACEM,2026-05-18,433.75,-2.29,451.55,431.4,442.71,454.35,479.19,509.53,0.0,BEARISH,WEAK,248
AFFLE,2026-05-18,1477.1,-1.17,1501.7,1465.0,1477.14,1466.96,1525.57,1617.96,0.0,BEARISH,WEAK,248
CANBK,2026-05-18,128.07,-2.12,131.38,127.8,134.17,137.61,139.1,135.01,0.0,BEARISH,WEAK,248
INFY,2026-05-18,1119.0,2.19,1133.2,1101.6,1178.89,1253.08,1338.79,1419.09,0.0,BEARISH,WEAK,248
ANTHEM,2026-05-18,783.3,-4.49,825.65,781.1,768.74,729.54,707.96,707.06,0.0,BULLISH,PERFECT,203
APLAPOLLO,2026-05-18,1890.2,0.01,1900.6,1870.6,1941.41,1981.16,1969.77,1914.62,0.0,BEARISH,WEAK,248
BDL,2026-05-18,1325.4,-2.05,1358.4,1317.0,1368.01,1349.44,1373.34,1455.69,0.0,BEARISH,WEAK,248
CROMPTON,2026-05-18,301.95,4.5,310.5,284.0,277.04,264.19,262.9,276.36,0.0,BULLISH,PARTIAL,248
NIVABUPA,2026-05-18,79.83,-0.67,81.63,79.14,79.4,77.2,76.76,78.42,0.0,BULLISH,PARTIAL,247
BATAINDIA,2026-05-18,694.1,-1.62,715.05,691.3,715.35,735.01,799.45,910.99,0.0,BEARISH,WEAK,248
JYOTICNC,2026-05-18,707.35,-1.88,728.0,706.6,745.14,766.71,810.29,888.91,0.0,BEARISH,WEAK,248
INOXWIND,2026-05-18,95.53,-2.11,98.0,95.2,98.63,97.01,103.67,120.06,0.0,BEARISH,WEAK,248
AFCONS,2026-05-18,336.5,1.72,342.0,330.1,330.32,323.56,335.88,365.4,0.0,BEARISH,PARTIAL,248
HAL,2026-05-18,4386.2,-4.81,4618.0,4370.0,4468.08,4297.34,4290.31,4414.96,0.0,BEARISH,WEAK,248
IEX,2026-05-18,125.27,-2.47,127.5,125.0,127.82,127.13,130.01,140.19,0.0,BEARISH,WEAK,248
INTELLECT,2026-05-18,686.6,-1.01,705.75,683.0,724.49,724.22,776.75,863.43,0.0,BEARISH,WEAK,248
HINDUNILVR,2026-05-18,2272.2,1.05,2298.9,2246.2,2267.48,2253.88,2284.26,2333.49,0.0,BEARISH,PARTIAL,248
FACT,2026-05-18,882.7,0.35,910.95,878.05,884.29,858.31,850.44,863.07,0.0,BULLISH,WEAK,248
ELECON,2026-05-18,484.85,-2.84,498.6,482.3,498.08,466.15,463.41,496.61,0.0,BEARISH,WEAK,248
MAHABANK,2026-05-18,78.02,-0.61,78.97,77.77,78.42,73.99,69.6,64.8,0.0,BULLISH,WEAK,248
ACC,2026-05-18,1362.8,-1.12,1398.8,1356.4,1393.91,1438.16,1526.66,1642.51,0.0,BEARISH,WEAK,248
LTFOODS,2026-05-18,409.35,-0.4,413.85,395.8,416.37,408.67,405.16,406.82,0.0,BULLISH,WEAK,246
SAGILITY,2026-05-18,42.0,-2.14,43.26,41.82,42.44,42.62,43.94,45.03,0.0,BEARISH,WEAK,248
BOSCHLTD,2026-05-18,37740.0,2.15,37980.0,36780.0,36620.51,35703.95,35629.75,35599.76,0.0,BULLISH,PERFECT,247
ASAHIINDIA,2026-05-18,819.65,-0.24,828.0,805.55,834.69,853.78,878.58,879.13,0.0,BEARISH,WEAK,248
PCBL,2026-05-18,274.3,-3.38,284.2,273.1,287.98,284.62,292.9,316.39,0.0,BEARISH,WEAK,248
ABB,2026-05-18,6381.0,-0.75,6433.5,6307.0,6799.01,6595.86,6220.85,5912.28,0.0,BULLISH,WEAK,248
KPITTECH,2026-05-18,703.7,-0.75,726.45,702.0,727.18,757.79,851.96,986.89,0.0,BEARISH,WEAK,248
SHREECEM,2026-05-18,24970.0,-0.22,25385.0,24905.0,24913.11,24954.96,25582.77,26850.71,0.0,BEARISH,PARTIAL,248
SHYAMMETL,2026-05-18,877.25,-0.62,886.0,863.0,866.79,848.75,845.24,856.18,0.0,BULLISH,PARTIAL,248
SONATSOFTW,2026-05-18,265.75,-0.21,273.95,264.0,266.94,266.49,284.66,314.92,0.0,BEARISH,WEAK,248
DCMSHRIRAM,2026-05-18,1127.2,-0.04,1166.0,1120.0,1190.97,1164.77,1161.01,1166.54,0.0,BEARISH,WEAK,247
RAMCOCEM,2026-05-18,916.25,-1.84,937.75,912.05,947.98,977.75,1006.96,1024.36,0.0,BEARISH,WEAK,247
HDFCAMC,2026-05-18,2703.5,0.44,2738.4,2690.2,2708.72,2651.82,2636.59,2627.43,0.0,BULLISH,WEAK,248
POLYMED,2026-05-18,1498.9,-1.45,1534.9,1489.1,1543.98,1487.43,1536.01,1701.0,0.0,BEARISH,WEAK,248
LODHA,2026-05-18,849.95,-2.62,879.75,845.0,886.28,889.9,945.7,1050.41,0.0,BEARISH,WEAK,248
CANFINHOME,2026-05-18,849.55,0.75,851.85,831.6,862.65,864.27,865.08,849.19,0.0,BULLISH,WEAK,248
BERGEPAINT,2026-05-18,533.45,-0.08,536.2,528.1,487.53,471.62,479.37,501.13,0.0,BULLISH,PARTIAL,248
ASTRAL,2026-05-18,1550.8,-0.67,1588.0,1547.1,1560.85,1569.16,1550.03,1515.27,0.0,BULLISH,WEAK,248
HAVELLS,2026-05-18,1209.6,-0.1,1217.8,1202.6,1242.25,1276.03,1323.54,1389.23,0.0,BEARISH,WEAK,248
PNB,2026-05-18,102.05,-2.46,104.85,101.78,107.63,111.31,114.2,114.07,0.0,BEARISH,WEAK,248
DALBHARAT,2026-05-18,1727.5,-2.11,1770.5,1720.1,1868.07,1916.84,1974.51,2035.29,0.0,BEARISH,WEAK,247
POLICYBZR,2026-05-18,1688.3,0.41,1707.5,1660.4,1639.22,1598.73,1614.28,1658.92,0.0,BULLISH,PARTIAL,247
PFIZER,2026-05-18,4954.7,5.84,5004.9,4602.0,4777.47,4801.22,4853.63,4904.29,0.0,BULLISH,PARTIAL,247
PAYTM,2026-05-18,1131.2,-1.17,1145.9,1122.1,1133.52,1124.32,1142.03,1133.79,0.0,BEARISH,WEAK,248
CENTRALBK,2026-05-18,34.15,-1.33,34.98,34.07,35.5,35.79,36.27,36.82,0.0,BEARISH,WEAK,248
JUBLINGREA,2026-05-18,731.8,-0.41,752.5,727.35,712.08,674.76,664.51,673.12,0.0,BULLISH,PARTIAL,248
WIPRO,2026-05-18,190.0,0.9,191.9,188.8,196.47,202.43,213.7,227.02,0.0,BEARISH,WEAK,248
COROMANDEL,2026-05-18,1865.8,0.3,1880.0,1835.0,1951.35,2021.78,2100.93,2192.29,0.0,BEARISH,WEAK,248
PRESTIGE,2026-05-18,1342.2,-2.01,1385.5,1330.1,1393.58,1382.99,1424.58,1477.37,0.0,BEARISH,WEAK,248
BEL,2026-05-18,423.65,-1.21,429.5,422.2,433.4,434.43,429.43,417.87,0.0,BULLISH,WEAK,248
MSUMI,2026-05-18,40.07,0.07,40.78,39.82,40.49,40.58,41.62,42.2,0.0,BEARISH,WEAK,248
ABDL,2026-05-18,555.35,0.68,563.0,532.8,546.61,520.11,516.88,510.28,0.0,BULLISH,PERFECT,247
RITES,2026-05-18,211.21,-1.05,215.47,210.9,216.74,214.07,218.91,232.91,0.0,BEARISH,WEAK,248
ALKEM,2026-05-18,5486.0,-1.62,5638.5,5465.0,5483.48,5474.14,5490.98,5464.23,0.0,BULLISH,PARTIAL,247
BRITANNIA,2026-05-18,5406.0,0.62,5420.0,5365.0,5575.17,5675.27,5756.92,5779.59,0.0,BEARISH,WEAK,248
GAIL,2026-05-18,162.13,-0.3,163.4,161.06,161.93,159.56,161.77,167.76,0.0,BEARISH,PARTIAL,248
ABSLAMC,2026-05-18,1030.4,-3.54,1070.2,1022.3,1040.77,993.01,935.03,877.09,0.0,BULLISH,WEAK,248
HBLENGINE,2026-05-18,771.95,-1.59,792.75,769.0,790.78,766.14,768.78,760.44,0.0,BULLISH,WEAK,246
TECHNOE,2026-05-18,1196.0,-2.14,1239.1,1192.0,1227.4,1182.2,1166.2,1199.53,0.0,BEARISH,WEAK,248
HDFCBANK,2026-05-18,767.5,-0.27,781.9,765.4,777.35,805.95,850.74,897.65,0.0,BEARISH,WEAK,248
MUTHOOTFIN,2026-05-18,3311.4,-6.22,3523.9,3239.0,3464.14,3471.3,3467.6,3298.25,0.0,BULLISH,WEAK,248
IDEA,2026-05-18,12.95,-0.15,13.33,12.68,11.16,10.47,10.22,9.62,0.0,BULLISH,PERFECT,248
GODREJPROP,2026-05-18,1714.1,-1.12,1740.9,1705.0,1775.38,1754.56,1798.5,1904.26,0.0,BEARISH,WEAK,248
HEROMOTOCO,2026-05-18,5064.5,-0.25,5139.5,5044.0,5143.45,5245.69,5346.5,5282.76,0.0,BEARISH,WEAK,248
MRF,2026-05-18,128640.0,1.73,128910.0,126500.0,130051.88,133289.72,137601.06,141225.84,0.0,BEARISH,WEAK,247
SBILIFE,2026-05-18,1864.5,-0.12,1883.9,1850.0,1857.85,1889.52,1918.19,1911.63,0.0,BEARISH,WEAK,248
FSL,2026-05-18,237.6,-0.93,244.37,235.15,234.68,236.91,258.5,291.24,0.0,BEARISH,PARTIAL,248
IREDA,2026-05-18,127.1,-1.18,129.83,126.6,130.65,128.48,130.44,138.09,0.0,BEARISH,WEAK,248
MAZDOCK,2026-05-18,2481.8,-1.63,2532.8,2465.0,2572.56,2518.37,2519.88,2644.3,0.0,BEARISH,WEAK,248
NEWGEN,2026-05-18,472.3,3.38,491.0,457.1,478.78,494.71,568.86,702.21,0.0,BEARISH,WEAK,248
RAINBOW,2026-05-18,1336.2,1.52,1341.7,1305.8,1276.37,1246.93,1253.6,1291.71,0.0,BULLISH,PARTIAL,247
KEC,2026-05-18,548.55,-1.31,560.8,547.1,568.29,575.67,612.04,674.73,0.0,BEARISH,WEAK,248
OIL,2026-05-18,518.3,0.14,525.0,513.7,483.1,475.73,465.03,451.28,0.0,BULLISH,PERFECT,248
JMFINANCIL,2026-05-18,133.81,-2.68,138.24,133.15,137.52,134.46,136.18,139.4,0.0,BEARISH,WEAK,248
NAVA,2026-05-18,628.5,-10.67,724.0,615.0,674.31,637.01,611.07,589.19,0.0,BULLISH,WEAK,248
CONCOR,2026-05-18,518.8,-0.79,527.85,516.5,512.6,499.5,501.36,518.46,0.0,BULLISH,PARTIAL,248
LUPIN,2026-05-18,2276.2,0.8,2299.0,2254.1,2308.35,2295.78,2243.67,2166.67,0.0,BULLISH,WEAK,248
LT,2026-05-18,3909.0,-0.8,3949.4,3893.0,3961.9,3940.17,3927.79,3874.44,0.0,BULLISH,WEAK,248
VMM,2026-05-18,118.99,1.03,121.86,116.77,120.74,119.27,121.78,126.01,0.0,BEARISH,WEAK,248
PIDILITIND,2026-05-18,1467.7,-1.09,1493.8,1464.1,1419.37,1405.3,1420.85,1449.28,0.0,BULLISH,PARTIAL,248
MGL,2026-05-18,1087.6,1.89,1097.5,1030.1,1102.53,1090.43,1109.33,1170.0,0.0,BEARISH,WEAK,247
NIACL,2026-05-18,165.02,0.11,169.15,163.04,161.11,154.63,155.14,162.08,0.0,BULLISH,PARTIAL,248
HINDCOPPER,2026-05-18,570.25,-5.97,598.0,568.0,559.67,543.77,513.99,449.71,0.0,BULLISH,PERFECT,248
JKCEMENT,2026-05-18,5464.0,-1.04,5566.0,5382.0,5473.78,5474.91,5560.53,5675.83,0.0,BEARISH,WEAK,248
TATAPOWER,2026-05-18,407.0,-0.21,412.25,405.0,424.95,413.17,401.51,396.27,0.0,BULLISH,WEAK,248
CAPLIPOINT,2026-05-18,1998.8,-1.24,2057.0,1950.6,1816.22,1759.5,1782.14,1865.06,0.0,BULLISH,PARTIAL,247
JINDALSTEL,2026-05-18,1232.0,-1.66,1259.0,1225.7,1238.71,1212.28,1169.69,1113.24,0.0,BULLISH,WEAK,248
EICHERMOT,2026-05-18,7014.5,-0.28,7115.5,6975.0,7140.19,7169.02,7147.83,6904.71,0.0,BULLISH,WEAK,248
CONCORDBIO,2026-05-18,1135.3,-0.41,1149.4,1112.7,1132.75,1132.79,1196.74,1312.81,0.0,BEARISH,PARTIAL,248
INDGN,2026-05-18,516.1,0.06,521.95,509.85,512.82,497.03,498.2,516.17,0.0,BEARISH,PARTIAL,248
LEMONTREE,2026-05-18,111.23,-1.14,114.39,110.9,115.91,117.2,124.46,133.64,0.0,BEARISH,WEAK,248
BEML,2026-05-18,1788.1,-2.47,1843.0,1781.0,1815.79,1747.94,1756.69,1817.26,0.0,BEARISH,WEAK,248
HUDCO,2026-05-18,206.53,-7.53,226.99,205.0,213.71,203.11,202.86,209.44,0.0,BEARISH,WEAK,248
AIAENG,2026-05-18,3856.3,0.04,3935.4,3840.0,3882.91,3844.04,3788.24,3670.79,0.0,BULLISH,WEAK,246
CHOLAHLDNG,2026-05-18,1658.0,-1.64,1699.0,1644.5,1654.77,1622.57,1661.37,1735.68,0.0,BEARISH,PARTIAL,248
IRFC,2026-05-18,98.86,-1.33,100.93,98.5,102.48,103.13,107.22,114.64,0.0,BEARISH,WEAK,248
TATACOMM,2026-05-18,1680.0,1.44,1716.0,1667.5,1574.92,1555.76,1589.73,1633.09,0.0,BULLISH,PARTIAL,248
GRAVITA,2026-05-18,1688.1,-0.22,1725.0,1657.2,1672.09,1615.85,1622.05,1684.33,0.0,BULLISH,PARTIAL,248
TITAGARH,2026-05-18,763.3,-1.11,778.75,762.0,774.65,747.61,758.01,796.41,0.0,BEARISH,WEAK,248
SBFC,2026-05-18,91.4,-0.45,92.72,91.19,93.62,93.43,95.71,99.49,0.0,BEARISH,WEAK,246
PIIND,2026-05-18,3114.9,0.36,3148.0,3087.1,3055.56,3042.69,3122.38,3296.52,0.0,BEARISH,PARTIAL,248
ERIS,2026-05-18,1370.9,-0.22,1410.0,1355.0,1363.84,1370.27,1409.66,1465.52,0.0,BEARISH,PARTIAL,246
NTPCGREEN,2026-05-18,107.99,-1.39,110.15,107.37,108.48,103.87,100.29,99.63,0.0,BULLISH,WEAK,248
NATIONALUM,2026-05-18,403.6,-3.09,416.5,401.0,409.36,398.84,369.79,321.58,0.0,BULLISH,WEAK,248
COHANCE,2026-05-18,423.2,-4.94,452.0,416.55,434.64,399.86,437.29,566.69,0.0,BEARISH,WEAK,246
MARUTI,2026-05-18,13221.0,1.12,13325.0,13079.0,13318.74,13552.26,14055.41,14279.73,0.0,BEARISH,WEAK,248
CHOICEIN,2026-05-18,664.25,-0.91,675.85,662.0,677.4,689.11,713.16,730.6,0.0,BEARISH,WEAK,247
MEDANTA,2026-05-18,1242.5,2.52,1278.0,1220.9,1165.11,1128.28,1137.46,1168.36,0.0,BULLISH,PARTIAL,247
BHARTIARTL,2026-05-18,1905.4,1.16,1922.9,1880.4,1836.13,1859.09,1900.98,1923.17,0.0,BEARISH,PARTIAL,248
MRPL,2026-05-18,150.32,-2.15,155.34,149.28,164.16,171.87,170.73,163.04,0.0,BEARISH,WEAK,248
RPOWER,2026-05-18,27.12,-2.66,27.95,27.0,27.82,27.29,29.39,34.42,0.0,BEARISH,WEAK,248
GODREJIND,2026-05-18,1135.05,-1.57,1154.9,1098.5,1046.62,986.87,988.3,1028.51,0.0,BULLISH,PARTIAL,248
NH,2026-05-18,1841.1,1.19,1854.0,1812.0,1806.16,1782.69,1789.41,1800.68,0.0,BULLISH,PARTIAL,248
MOTILALOFS,2026-05-18,843.3,-1.04,861.65,841.0,825.81,792.53,798.94,820.48,0.0,BULLISH,PARTIAL,248
KALYANKJIL,2026-05-18,353.05,-2.2,361.75,352.0,393.84,404.94,422.32,454.27,0.0,BEARISH,WEAK,248
VOLTAS,2026-05-18,1230.7,-4.86,1289.4,1224.6,1350.65,1379.22,1389.09,1378.35,0.0,BEARISH,WEAK,248
SAMMAANCAP,2026-05-18,142.67,-0.32,146.0,139.97,145.22,146.15,146.69,144.87,0.0,BEARISH,WEAK,248
CHOLAFIN,2026-05-18,1546.3,-1.33,1573.7,1528.9,1586.09,1581.19,1600.59,1613.54,0.0,BEARISH,WEAK,248
GODREJCP,2026-05-18,1039.2,0.57,1046.9,1027.9,1058.33,1081.21,1112.08,1150.67,0.0,BEARISH,WEAK,248
ELGIEQUIP,2026-05-18,523.25,-0.22,534.75,522.0,536.13,522.59,509.2,501.13,0.0,BULLISH,WEAK,248
GODFRYPHLP,2026-05-18,2424.9,-1.37,2478.0,2390.0,2284.63,2204.42,2289.69,2487.89,0.0,BEARISH,PARTIAL,248
ADANIENT,2026-05-18,2716.0,0.11,2803.1,2661.0,2434.15,2277.06,2237.26,2282.49,0.0,BULLISH,PARTIAL,248
ASIANPAINT,2026-05-18,2605.6,-0.63,2640.0,2592.8,2507.22,2448.8,2466.0,2477.85,0.0,BULLISH,PARTIAL,248
ANANTRAJ,2026-05-18,488.2,-1.25,499.1,486.25,507.25,503.48,516.47,532.89,0.0,BEARISH,WEAK,248
TVSMOTOR,2026-05-18,3466.8,0.17,3498.9,3418.7,3567.09,3598.78,3596.61,3488.23,0.0,BEARISH,WEAK,248
UTIAMC,2026-05-18,965.05,-0.85,986.05,955.8,972.82,985.88,1028.17,1092.55,0.0,BEARISH,WEAK,248
PATANJALI,2026-05-18,459.85,2.2,469.4,448.3,458.92,473.46,496.53,524.59,0.0,BEARISH,WEAK,248
YESBANK,2026-05-18,22.07,-0.54,22.44,21.98,21.15,20.49,20.61,20.84,0.0,BULLISH,PARTIAL,248
MAXHEALTH,2026-05-18,1050.1,0.05,1059.9,1042.4,1015.11,1010.43,1030.26,1071.96,0.0,BEARISH,PARTIAL,248
JUBLPHARMA,2026-05-18,990.15,-1.42,1014.7,981.0,956.7,929.56,947.83,983.69,0.0,BULLISH,PARTIAL,247
INDIGO,2026-05-18,4314.9,0.8,4359.0,4277.0,4379.97,4466.29,4671.99,4972.16,0.0,BEARISH,WEAK,247
TRENT,2026-05-18,4101.3,-0.75,4144.4,4032.0,4127.89,4032.93,4083.64,4359.95,0.0,BEARISH,WEAK,248
APOLLOTYRE,2026-05-18,394.5,-1.82,428.75,392.0,411.45,427.24,446.99,463.46,0.0,BEARISH,WEAK,248
EXIDEIND,2026-05-18,349.05,-0.19,352.05,347.4,347.99,338.47,341.45,354.27,0.0,BEARISH,PARTIAL,248
ZFCVINDIA,2026-05-18,14516.0,2.8,14689.0,14169.0,14548.58,14495.74,14390.09,14165.18,0.0,BULLISH,WEAK,248
GRSE,2026-05-18,2685.9,-0.72,2736.5,2638.0,2807.86,2665.95,2589.44,2570.23,0.0,BULLISH,WEAK,248
MINDACORP,2026-05-18,525.2,3.3,528.45,507.4,522.19,527.76,538.17,542.15,0.0,BEARISH,WEAK,247
IRCON,2026-05-18,142.64,-2.06,146.61,142.2,148.94,146.35,149.68,159.08,0.0,BEARISH,WEAK,248
BALKRISIND,2026-05-18,2148.3,-1.95,2209.1,2132.0,2197.41,2240.34,2292.7,2362.89,0.0,BEARISH,WEAK,247
BAJAJFINSV,2026-05-18,1728.1,-0.7,1755.8,1721.9,1773.35,1807.3,1867.42,1929.12,0.0,BEARISH,WEAK,248
PPLPHARMA,2026-05-18,174.87,0.18,179.36,171.52,167.6,160.6,163.03,172.54,0.0,BULLISH,PARTIAL,248
CDSL,2026-05-18,1186.7,-1.0,1206.9,1185.0,1247.9,1272.1,1322.84,1392.98,0.0,BEARISH,WEAK,248
ADANIENSOL,2026-05-18,1303.6,-1.18,1365.0,1276.3,1309.56,1202.5,1110.02,1028.49,0.0,BULLISH,WEAK,246
WOCKPHARMA,2026-05-18,1545.9,-0.08,1574.0,1510.1,1501.98,1421.77,1395.58,1400.43,0.0,BULLISH,PARTIAL,248
TBOTEK,2026-05-18,1177.0,-0.37,1230.0,1146.5,1219.06,1242.11,1309.86,1360.5,0.0,BEARISH,WEAK,248
PARADEEP,2026-05-18,120.46,-2.17,123.79,120.06,125.39,124.85,131.29,142.76,0.0,BEARISH,WEAK,248
NCC,2026-05-18,160.68,-0.94,164.65,159.25,162.16,157.4,160.01,174.0,0.0,BEARISH,WEAK,248
CLEAN,2026-05-18,766.65,-6.28,822.0,763.0,808.08,786.81,817.9,918.49,0.0,BEARISH,WEAK,248
ABBOTINDIA,2026-05-18,27940.0,1.53,28100.0,27505.0,26507.81,26432.94,27034.92,28167.98,0.0,BEARISH,PARTIAL,248
TATAELXSI,2026-05-18,4125.6,2.48,4140.5,4012.1,4208.63,4367.06,4639.17,5029.53,0.0,BEARISH,WEAK,248
DOMS,2026-05-18,2263.5,2.22,2355.0,2203.0,2305.41,2322.05,2362.74,2434.05,0.0,BEARISH,WEAK,247
NAUKRI,2026-05-18,928.1,-1.03,954.9,925.55,972.08,1014.85,1092.63,1196.8,0.0,BEARISH,WEAK,248
TEGA,2026-05-18,1585.3,0.55,1613.0,1570.0,1641.62,1685.65,1732.75,1746.39,0.0,BEARISH,WEAK,247
TATAINVEST,2026-05-18,675.95,0.72,681.1,665.05,692.88,677.36,678.21,685.12,0.0,BEARISH,WEAK,248
SAPPHIRE,2026-05-18,179.42,3.32,182.4,170.25,180.46,182.97,199.46,230.93,0.0,BEARISH,WEAK,248
CIPLA,2026-05-18,1432.1,-0.32,1444.5,1425.2,1328.4,1311.45,1343.74,1397.26,0.0,BULLISH,PARTIAL,248
DIVISLAB,2026-05-18,6760.5,-2.33,6968.0,6732.0,6570.35,6388.63,6334.54,6353.03,0.0,BULLISH,PARTIAL,247
LTTS,2026-05-18,3495.1,0.82,3535.4,3472.5,3581.81,3551.83,3674.03,3890.4,0.0,BEARISH,WEAK,248
SIGNATURE,2026-05-18,851.3,-1.72,873.7,845.0,862.26,864.39,910.64,990.63,0.0,BEARISH,WEAK,246
TARIL,2026-05-18,300.8,-1.31,308.4,300.0,312.43,303.9,310.81,351.3,0.0,BEARISH,WEAK,246
